doi,doi + link,pdf?,Ref,double-checked,name,AA,AA_location,temper,temper_location,size,dir,YS [MPa],YS [MPa]_location,UTS [MPa],UTS [MPa]_location,elong [%],elong [%]_location,Hardness,Hardness_location,Hardness UNIT,Hardness UNIT_location,Has comp [True / False / nominal],Has comp [True / False / nominal]_location,Cu,Cu_location,Mn,Mn_location,Si,Si_location,Mg,Mg_location,Zn,Zn_location,Cr,Cr_location,Fe,Fe_location,Ti,Ti_location,Zr,Zr_location,Ag,Ag_location,Be,Be_location,Bi,Bi_location,C,C_location,Ca,Ca_location,Ce,Ce_location,Er,Er_location,Ga,Ga_location,Ge,Ge_location,Hf,Hf_location,La,La_location,Li,Li_location,Ni,Ni_location,P,P_location,Pb,Pb_location,Sc,Sc_location,Sn,Sn_location,Sr,Sr_location,V,V_location,Yb,Yb_location,Other properties / data,Microstructure [None / OM / SEM / EBSD / TEM / APT],doi,Pfeiffer_no,series,who added,Notes,article_type,journal,publisher,included_in_dataset,pdf,xml
10.1016/j.matlet.2013.08.093,10.1016/j.matlet.2013.08.093,Y,He2013,TRUE,T62,2024,"Page Text, Table Header",T62,"Page Text, Table Header",,,,,449,Table Column,6,Table Column,,,,,nominal,Page Text,4.35,Page Text,0.6,Page Text,0.5,Page Text,1.5,Page Text,0.25,Page Text,0.1,Page Text,0.5,Page Text,0.15,Page Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.matlet.2013.08.093,47,2000,,,journal_article,Materials Letters,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2008.04.020,10.1016/j.jmatprotec.2008.04.020,Y,Ayari2009,TRUE,2024 T45,2024,"Page Text, Table Caption, Table Header",T45,"Page Text, Table Caption, Table Header",,,275,Table Column,425,Table Column,21,Table Column,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compression,,10.1016/j.jmatprotec.2008.04.020,48,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2008.04.020,10.1016/j.jmatprotec.2008.04.020,Y,Ayari2009,TRUE,7075 T65,7075,"Page Text, Table Caption, Table Header",T65,"Page Text, Table Caption, Table Header",,,505,Table Column,570,Table Column,10,Table Column,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compression,,10.1016/j.jmatprotec.2008.04.020,49,7000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11663-016-0611-3,10.1007/s11663-016-0611-3,,Mog2016,TRUE,17.8,2024,"Page Text, Table Caption",T351,"Page Text, Table Caption",,,324,"Table Column, Page Text",429,Table Column,17.8,"Table Column, Page Text",137,Table Column,HV,Table Column,TRUE,Page Text,4.45,Page Text,0.72,Page Text,0.11,Page Text,1.53,Page Text,0.12,Page Text,,,0.29,Page Text,0.06,Page Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,Page Text,,,FSW,,10.1007/s11663-016-0611-3,70,2000,,,journal_article,Metallurgical and Materials Transactions B,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2016.12.087,10.1016/j.msea.2016.12.087,Y,Sinh2017,TRUE,BM,2014,"Page Text, Table Caption",T651,Page Text,,,410,Table Column,469,Table Column,9.14,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.8,Table Column,0.38,Table Column,0.97,Table Column,0.54,Table Column,0.25,Table Column,,,0.7,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1016/j.msea.2016.12.087,71,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-010-0377-1,10.1007/s11661-010-0377-1,,Venu2010,TRUE,BM,2219,"Page Text, Table Caption, Table Header",T87,"Page Text, Table Caption, Table Header",,,358,Table Column,440,Table Column,11.7,Table Column,,Not Present,,Not Present,TRUE,Table Column,5.95,Table Column,0.27,Table Column,0.05,Table Column,,,0.02,Table Column,,,0.12,Table Column,0.06,Table Column,0.1,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,Table Column,,,"weld, corrosion",,10.1007/s11661-010-0377-1,74,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s10853-009-3735-x,10.1007/s10853-009-3735-x,,Safark2009,TRUE,Bal.,2024,"Page Text, Table Caption, Table Column",T4,"Page Text, Table Caption",,,320,Table Column,450,Table Column,9,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.43,Table Column,0.72,Table Column,0.11,Table Column,1.48,Table Column,0.2,Table Column,,,0.26,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s10853-009-3735-x,91,2000,,,journal_article,Journal of Materials Science,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.matdes.2015.08.003,10.1016/j.matdes.2015.08.003,Y,Guerin2015,TRUE,T34 metallurgical state,2050,"Page Text, Table Caption",T34,"Page Text, Table Caption, Table Header",50mm,,280,Table Column,470,Table Column,20,Table Column,,Not Present,,Not Present,nominal,Page Text,3.86,Page Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,Page Text,,,,,,,,,,,,,,,,,corrosion and fatigue,,10.1016/j.matdes.2015.08.003,93,2000,,,journal_article,Materials & Design,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.matdes.2015.08.003,10.1016/j.matdes.2015.08.003,Y,Guerin2015,TRUE,T84 metallurgical state,2050,"Page Text, Table Caption",T84,"Page Text, Table Caption, Table Header",50mm,,520,Table Column,590,Table Column,10.5,Table Column,,Not Present,,Not Present,nominal,Page Text,3.86,Page Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,Page Text,,,,,,,,,,,,,,,,,corrosion and fatigue,,10.1016/j.matdes.2015.08.003,94,2000,,,journal_article,Materials & Design,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,B11,,Not Present,T4,"Page Text, Table Caption, Table Header",,,263.6,Table Column,387.1,Table Column,17.4,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.64,Table Column,0.12,Table Column,0.12,Table Column,0.27,Table Column,,Not Present,,Not Present,0.14,Table Column,0.21,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,96,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,B11,,Not Present,T7,"Page Text, Table Caption, Table Header",,,413.4,Table Column,454.1,Table Column,6.2,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.64,Table Column,0.12,Table Column,0.12,Table Column,0.27,Table Column,,Not Present,,Not Present,0.14,Table Column,0.21,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,97,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,B33,,Not Present,T4,"Page Text, Table Caption, Table Header",,,274.1,Table Column,399.8,Table Column,9.2,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.61,Table Column,0.32,Table Column,0.29,Table Column,0.29,Table Column,,Not Present,,Not Present,0.16,Table Column,0.21,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,98,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,B33,,Not Present,T7,"Page Text, Table Caption, Table Header",,,423.3,Table Column,461.1,Table Column,1.3,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.61,Table Column,0.32,Table Column,0.29,Table Column,0.29,Table Column,,Not Present,,Not Present,0.16,Table Column,0.21,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,99,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,333,,Not Present,T4,"Page Text, Table Caption, Table Header",,,269.7,Table Column,393.2,Table Column,12.1,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.62,Table Column,0.33,Table Column,0.29,Table Column,0.28,Table Column,,Not Present,,Not Present,0.29,Table Column,0.19,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,100,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,333,,Not Present,T7,"Page Text, Table Caption, Table Header",,,426.9,Table Column,450.3,Table Column,3.1,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.62,Table Column,0.33,Table Column,0.29,Table Column,0.28,Table Column,,Not Present,,Not Present,0.29,Table Column,0.19,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,101,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,533,,Not Present,T4,"Page Text, Table Caption, Table Header",,,261.9,Table Column,362.5,Table Column,7.8,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.64,Table Column,0.32,Table Column,0.3,Table Column,0.28,Table Column,,Not Present,,Not Present,0.49,Table Column,0.19,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,102,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2207-3,10.1007/s11661-014-2207-3,,LiuCao2014,TRUE,533,,Not Present,T7,"Page Text, Table Caption, Table Header",,,384.2,Table Column,423.8,Table Column,2.8,Table Column,,Not Present,,Not Present,TRUE,Table Column,4.64,Table Column,0.32,Table Column,0.3,Table Column,0.28,Table Column,,Not Present,,Not Present,0.49,Table Column,0.19,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/s11661-014-2207-3,103,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.matdes.2015.06.044,10.1016/j.matdes.2015.06.044,Y,Gous2015,TRUE,580,,Not Present,T3,Page Text,,TL,299,Table Column,437,Table Column,21,Table Column,,,,,TRUE,Table Column,4.55,Table Column,0.45,Table Column,0.1,Table Column,1.49,Table Column,0.16,Table Column,,,0.17,Table Column,0.021,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1016/j.matdes.2015.06.044,104,2000,,,journal_article,Materials & Design,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2009.04.049,10.1016/j.msea.2009.04.049,Y,Hatamleh2009,TRUE,2195-T8,2195,"Page Text, Table Caption, Table Column",T8,"Page Text, Table Caption, Table Column",,,503,Table Column,537,Table Column,,,,,,,nominal,,4,,0.25,,0.12,,0.525,,0.25,,,,0.15,,0.1,,0.12,,0.425,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2009.04.049,105,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-008-9739-3,10.1007/s11661-008-9739-3,,Yama2009,TRUE,T3,2024,"Page Text, Table Column",T3,"Page Text, Table Column",,,316,Table Column,459,Table Column,17.2,Table Column,,,,,TRUE,Table Column,4.334,Table Column,0.585,Table Column,0.057,Table Column,1.457,Table Column,0.038,Table Column,0.004,Table Column,0.127,Table Column,0.029,Table Column,0.002,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue,,10.1007/s11661-008-9739-3,112,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2011.08.015,10.1016/j.msea.2011.08.015,Y,WhaMa2011,TRUE,0 (as-received),2024,"Page Text, Table Caption",overaged,Page Text,,,410,Table Column,505,Table Column,11.4,Table Column,,,,,nominal,Table Column,4.35,Table Column,0.6,Table Column,0.5,Table Column,1.5,Table Column,0.25,Table Column,0.1,Table Column,0.5,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Table Column,,,,,,,,,,,,,,,,,10.1016/j.msea.2011.08.015,113,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.07.064,10.1016/j.msea.2012.07.064,Y,Elgallad2012,TRUE,T7A,A206,"Page Text, Table Caption, Table Column",T7,"Page Text, Table Column",,,302,Table Column,376,Table Column,8.8,Table Column,,,,,TRUE,Table Column,4.32,Table Column,0.24,Table Column,1.17,Table Column,0.19,Table Column,,,,,0.14,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,Table Column,,,,,,,10.1016/j.msea.2012.07.064,117,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.07.064,10.1016/j.msea.2012.07.064,Y,Elgallad2012,TRUE,T7B,A206,"Page Text, Table Caption, Table Column",T7,"Page Text, Table Column",,,324,Table Column,391,Table Column,8.5,Table Column,,,,,TRUE,Table Column,4.32,Table Column,0.24,Table Column,1.17,Table Column,0.19,Table Column,,,,,0.14,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,Table Column,,,,,,,10.1016/j.msea.2012.07.064,118,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.07.064,10.1016/j.msea.2012.07.064,Y,Elgallad2012,TRUE,T7C,A206,"Page Text, Table Caption, Table Column",T7,"Page Text, Table Column",,,296,Table Column,366,Table Column,4.9,Table Column,,,,,TRUE,Table Column,4.32,Table Column,0.24,Table Column,1.17,Table Column,0.19,Table Column,,,,,0.14,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,Table Column,,,,,,,10.1016/j.msea.2012.07.064,119,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2010.12.045,10.1016/j.msea.2010.12.045,Y,CepedaJimenez2011,TRUE,2024-T351,2024,"Page Text, Table Caption, Table Column",T351,"Page Text, Table Caption, Table Column",12,,285,Table Column,435,Table Column,12,Table Column,138,Table Column,HV,Table Column,TRUE,Table Column,5.58,Table Column,0.41,Table Column,0.07,Table Column,1.09,Table Column,0.33,Table Column,0.07,Table Column,0.08,Table Column,0.3,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,Table Column,,,,,,,,,,,,,,,,,10.1016/j.msea.2010.12.045,121,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.scriptamat.2011.12.011,10.1016/j.scriptamat.2011.12.011,Y,Liao2012,TRUE,B,,,,,2mm,,347.3,"Table Column, Page Text",415.3,"Table Column, Page Text",17.8,"Table Column, Page Text",140,Page Text,HV,Page Text,TRUE,"Page Text, Table Column",3.5,"Page Text, Table Column",,,,,0.4,"Page Text, Table Column",,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,"Page Text, Table Column",,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.scriptamat.2011.12.011,122,2000,,,journal_article,Scripta Materialia,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2007.08.070,10.1016/j.jmatprotec.2007.08.070,Y,KoteswaraRao2008,TRUE,Base metal (2219-T87),2219,"Page Text, Table Column",T87,"Page Text, Table Column",8.4,Transverse,365,Table Column,456,Table Column,19.8,Table Column,,,,,TRUE,Table Column,6.7,Table Column,0.3,Table Column,0.1,Table Column,,,,,,,0.14,Table Column,0.06,Table Column,0.07,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jmatprotec.2007.08.070,127,2000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.scriptamat.2006.04.013,10.1016/j.scriptamat.2006.04.013,Y,Liu2006,TRUE,,2219,"Page Text, Table Caption",O,"Page Text, Table Caption",5,,114,Table Column,159,Table Column,17.5,Table Column,,,,,TRUE,Table Column,6.48,Table Column,0.32,Table Column,0.49,Table Column,,,0.04,Table Column,,,0.23,Table Column,0.06,Table Column,0.2,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,Table Column,,,,,10.1016/j.scriptamat.2006.04.013,129,2000,,,journal_article,Scripta Materialia,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.matdes.2007.11.005,10.1016/j.matdes.2007.11.005,Y,Malarvizhi2008,TRUE,Base metal,2219,"Page Text, Table Column, Table Caption",T87,"Page Text, Table Column",12,,392,Table Column,475,Table Column,15,Table Column,140,Table Column,HV,Table Header,TRUE,Table Column,6.33,Table Column,0.34,Table Column,0.06,Table Column,,,0.02,Table Column,,,0.13,Table Column,0.04,Table Column,0.12,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,Table Column,,,,,10.1016/j.matdes.2007.11.005,133,2000,,,journal_article,Materials & Design,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2006.04.087,10.1016/j.msea.2006.04.087,Y,Yan2006,TRUE,2024-T351 base metal,2024,"Page Text, Table Column, Table Caption",T351,,,,322.5,Table Column,471,Table Column,21.2,Table Column,,,,,nominal,Table Column,4.4,Table Column,0.6,Table Column,0.5,Table Column,1.5,Table Column,,,0.1,Table Column,0.5,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2006.04.087,139,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2006.04.087,10.1016/j.msea.2006.04.087,Y,Yan2006,TRUE,2524-T351 base metal,2524,"Page Text, Table Column, Table Caption",T351,"Page Text, Table Caption, Table Column",,,335.2,Table Column,483.1,Table Column,21,Table Column,,,,,nominal,Table Column,4.315,Table Column,0.575,Table Column,0.036,Table Column,1.395,Table Column,0.008,,,,0.0825,Table Column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2006.04.087,140,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-016-3332-y,10.1007/s11661-016-3332-y,,Venugopal2016,TRUE,L,2219,,T87,,,L,358,,440,,11.7,,,,,,TRUE,,5.95,,0.27,,0.05,,,,0.02,,,,0.12,,0.06,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,10.1007/s11661-016-3332-y,147,2000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
